CODIGO_PROYECTO,AREA_ESTRATEGICA,PROGRAMA,INSTRUMENTO,NOMBRE_CONCURSO,ANO_CONCURSO,ANO_FALLO,NOMBRE_PROYECTO,AREA_OCDE,DISCIPLINA_DETALLE,GRUPO DE ESTUDIO,DURACION_MESES,ANO FINALIZACION,TIPO_BENEFICIARIO,NOMBRE_RESPONSABLE,SEXO,INSTITUCION_PRINCIPAL,UBICACION_INSTITUCION,MACROZONA MINCIENCIA (segUn ax),REGION_EJECUCION,MONTO ADJUDICADO (MILES $)
1820104,PROYECTOS DE INVESTIGACION,FONDECYT,REGULAR,CONCURSO NACIONAL REGULAR 1982,1982,1982,ESTUDIOS ORNITOLOGICOS SUBANTARTICOS EN LA ISLA NOIR (54 GRADOS 30' S-73 GRADOS 00' W).,CIENCIAS NATURALES,BIOLOGIA 1,BIOLOGIA 1,12,1983,PERSONA NATURAL,CLAUDIO ROBERTO VENEGAS CANELO,HOMBRE,UNIVERSIDAD DE MAGALLANES,12. MAGALLANES Y ANTARTICA CHILENA,AUSTRAL,12. MAGALLANES Y ANTARTICA CHILENA,$251
1830052,PROYECTOS DE INVESTIGACION,FONDECYT,REGULAR,CONCURSO NACIONAL REGULAR 1983,1983,1983,ESCALAMIENTO ( SCALE-UP ) DE UNA COLUMNA DE EXTRACCION DE PULSOS Y PLATOS PERFORADOS.,INGENIERIA Y TECNOLOGIA,INGENIERIA 3,INGENIERIA 3,12,1984,PERSONA NATURAL,JOSE RETAMALES ESPINOZA,HOMBRE,UNIVERSIDAD DE MAGALLANES,12. MAGALLANES Y ANTARTICA CHILENA,AUSTRAL,12. MAGALLANES Y ANTARTICA CHILENA,$356
1831106,PROYECTOS DE INVESTIGACION,FONDECYT,REGULAR,CONCURSO NACIONAL REGULAR 1983,1983,1983,PROSPECCION E IDENTIFICACION DEL PATRIMONIO HISTORICO - CULTURAL DE LA REGION DE MAGALLANES.,CIENCIAS SOCIALES,ANTROPOLOGIA Y ARQUEOLOGIA,ANTROP. Y ARQUE,12,1984,PERSONA NATURAL,MATEO MARTINIC BEROS,HOMBRE,UNIVERSIDAD DE MAGALLANES,12. MAGALLANES Y ANTARTICA CHILENA,AUSTRAL,12. MAGALLANES Y ANTARTICA CHILENA,$316
1841241,PROYECTOS DE INVESTIGACION,FONDECYT,REGULAR,CONCURSO NACIONAL REGULAR 1984,1984,1984,REVISION TASXONOMICA DE LAS SUBFAMILIAS PHYGADEUONTINAE Y OXYTORINAE EN MAGALLANES.,CIENCIAS NATURALES,BIOLOGIA 1,BIOLOGIA 1,12,1985,PERSONA NATURAL,DOLLY MYRIAM LANFRANCO LEVERTON,MUJER,UNIVERSIDAD DE MAGALLANES,12. MAGALLANES Y ANTARTICA CHILENA,AUSTRAL,12. MAGALLANES Y ANTARTICA CHILENA,$119
1870106,PROYECTOS DE INVESTIGACION,FONDECYT,REGULAR,CONCURSO NACIONAL REGULAR 1987,1987,1987,ESTUDIO QUIMICO DE LAS,CIENCIAS NATURALES,QUIMICA,QUIMICA 2,12,1988,PERSONA NATURAL,VICTOR MANUEL FAJARDO MORALES,HOMBRE,UNIVERSIDAD DE MAGALLANES,12. MAGALLANES Y ANTARTICA CHILENA,AUSTRAL,12. MAGALLANES Y ANTARTICA CHILENA,$950
1881300,PROYECTOS DE INVESTIGACION,FONDECYT,REGULAR,CONCURSO NACIONAL REGULAR 1988,1988,1988,SECTORIZACION FITOGEOGRAFICA DEL ARCHIPIELAGO SUD PATAGONICO-FUEGUINO.,CIENCIAS NATURALES,BIOLOGIA 1,BIOLOGIA 1,36,1991,PERSONA NATURAL,EDMUNDO ENRIQUE PISANO VALDES,HOMBRE,UNIVERSIDAD DE MAGALLANES,12. MAGALLANES Y ANTARTICA CHILENA,AUSTRAL,12. MAGALLANES Y ANTARTICA CHILENA,$7.619
1881301,PROYECTOS DE INVESTIGACION,FONDECYT,REGULAR,CONCURSO NACIONAL REGULAR 1988,1988,1988,"LA INMIGRACION EUROPEA EN MAGALLANES, 1891-1920",CIENCIAS SOCIALES,GEOGRAFIA Y URBANISMO,GEOGRAFIA Y URBANISM,12,1989,PERSONA NATURAL,MATEO MARTINIC BEROS,HOMBRE,UNIVERSIDAD DE MAGALLANES,12. MAGALLANES Y ANTARTICA CHILENA,AUSTRAL,12. MAGALLANES Y ANTARTICA CHILENA,$985
1891204,PROYECTOS DE INVESTIGACION,FONDECYT,REGULAR,CONCURSO NACIONAL REGULAR 1989,1989,1989,EL VIENTO EN MAGALLANES COMO FACTOR ECOLOGICO Y ECONOMICO : I.- CUANTIFICACION DE SUS EFECTOS EN EL CULTIVO HORTICULAS Y SU POTENCIAL ENERGETICO.,CIENCIAS AGRICOLAS,AGRONOMIA,AGRONOMIA,36,1992,PERSONA NATURAL,ARIEL SANTANA AGUILA,HOMBRE,UNIVERSIDAD DE MAGALLANES,12. MAGALLANES Y ANTARTICA CHILENA,AUSTRAL,12. MAGALLANES Y ANTARTICA CHILENA,$7.021
1891210,PROYECTOS DE INVESTIGACION,FONDECYT,REGULAR,CONCURSO NACIONAL REGULAR 1989,1989,1989,MODELACION DEL ROTOR DE DIRRIEUS.,INGENIERIA Y TECNOLOGIA,INGENIERIA 1,INGENIERIA 1,24,1991,PERSONA NATURAL,HUMBERTO OYARZO PEREZ,HOMBRE,UNIVERSIDAD DE MAGALLANES,12. MAGALLANES Y ANTARTICA CHILENA,AUSTRAL,12. MAGALLANES Y ANTARTICA CHILENA,$2.954
1891208,PROYECTOS DE INVESTIGACION,FONDECYT,REGULAR,CONCURSO NACIONAL REGULAR 1989,1989,1989,ESCALAMIENTO DE COLUMNAS DE EXTRACCION DE PULSOS Y PLATOS PERFORADOS.,INGENIERIA Y TECNOLOGIA,INGENIERIA 3,INGENIERIA 3,12,1990,PERSONA NATURAL,JOSE RETAMALES ESPINOZA,HOMBRE,UNIVERSIDAD DE MAGALLANES,12. MAGALLANES Y ANTARTICA CHILENA,AUSTRAL,12. MAGALLANES Y ANTARTICA CHILENA,$1.301
1891211,PROYECTOS DE INVESTIGACION,FONDECYT,REGULAR,CONCURSO NACIONAL REGULAR 1989,1989,1989,ESTUDIO DE LA DISTRIBUCION DE CONTAMINANTES ARROJADOS EN LA COSTA DE PUNTA ARENAS.,INGENIERIA Y TECNOLOGIA,INGENIERIA 1,INGENIERIA 1,12,1990,PERSONA NATURAL,JUAN ARCADIO OYARZO PEREZ,HOMBRE,UNIVERSIDAD DE MAGALLANES,12. MAGALLANES Y ANTARTICA CHILENA,AUSTRAL,12. MAGALLANES Y ANTARTICA CHILENA,$710
1891206,PROYECTOS DE INVESTIGACION,FONDECYT,REGULAR,CONCURSO NACIONAL REGULAR 1989,1989,1989,ESTUDIO QUIMICO DE LA FLORA PATAGONICA.,CIENCIAS NATURALES,QUIMICA,QUIMICA 2,24,1991,PERSONA NATURAL,VICTOR MANUEL FAJARDO MORALES,HOMBRE,UNIVERSIDAD DE MAGALLANES,12. MAGALLANES Y ANTARTICA CHILENA,AUSTRAL,12. MAGALLANES Y ANTARTICA CHILENA,$6.237
1900518,PROYECTOS DE INVESTIGACION,FONDECYT,REGULAR,CONCURSO NACIONAL REGULAR 1990,1990,1990,"CULTIVO DE CENTOLLA (,ITHODES SANTOLLA) CON FINES DE REPOBLACION. 1A. PARTE: METAMORFOSIS DE POST-LARVA A PRIMER JUVENIL Y CRIANZA DE LARVAS Y POST-LARVAS A ESCALA INTERMEDIA.",CIENCIAS MEDICAS Y DE LA SALUD,PRODUCCION ANIMAL,SALUD PROD ANIM,12,1991,PERSONA NATURAL,ITALO CESAR CAMPODONICO GAMBOA,HOMBRE,UNIVERSIDAD DE MAGALLANES,12. MAGALLANES Y ANTARTICA CHILENA,AUSTRAL,12. MAGALLANES Y ANTARTICA CHILENA,$1.546
1900005,PROYECTOS DE INVESTIGACION,FONDECYT,REGULAR,CONCURSO NACIONAL REGULAR 1990,1990,1990,HISTORIA DE LA REGION MAGALLANICA.,HUMANIDADES,HISTORIA,HISTORIA,36,1993,PERSONA NATURAL,MATEO MARTINIC BEROS,HOMBRE,UNIVERSIDAD DE MAGALLANES,12. MAGALLANES Y ANTARTICA CHILENA,AUSTRAL,12. MAGALLANES Y ANTARTICA CHILENA,$8.850
D91F1052,INVESTIGACION APLICADA,FONDEF,INVESTIGACION Y DESARROLLO EN INFRAESTRUCTURA,I CONCURSO DE INFRAESTRUCTURA TECNOLOGICA 1991,1991,1991,CENTRO DE ESTUDIOS DE LOS RECURSOS ENERGETICOS,CIENCIAS NATURALES,METEOROLOGIA Y CLIMATOLOGIA,NO APLICA,50,1996,PERSONA JURIDICA,ARTURO KUNSTMANN FERRERIA,HOMBRE,UNIVERSIDAD DE MAGALLANES,12. MAGALLANES Y ANTARTICA CHILENA,AUSTRAL,12. MAGALLANES Y ANTARTICA CHILENA,$206.000
1910259,PROYECTOS DE INVESTIGACION,FONDECYT,REGULAR,CONCURSO NACIONAL REGULAR 1991,1991,1991,ESTUDIO QUIMICO DE LA FLORA PATAGONICA,CIENCIAS NATURALES,QUIMICA,QUIMICA 2,24,1993,PERSONA NATURAL,VICTOR MANUEL FAJARDO MORALES,HOMBRE,UNIVERSIDAD DE MAGALLANES,12. MAGALLANES Y ANTARTICA CHILENA,AUSTRAL,12. MAGALLANES Y ANTARTICA CHILENA,$16.203
1920313,PROYECTOS DE INVESTIGACION,FONDECYT,REGULAR,CONCURSO NACIONAL REGULAR 1992,1992,1992,ESTRUCTURA Y DINAMICA DEL ESPECTRODE BIOMASA POR TAMANOS DEL FITOPLANCTON Y MICROZOOPLANCTON EN EL FIORDO OTWAY: VARIABILIDAD INVIERNO-PRIMAVERA,CIENCIAS NATURALES,OCEANOGRAFIA,CS. DE LA TIERRA,36,1995,PERSONA NATURAL,JOSE IRIARTE MACHUCA,HOMBRE,UNIVERSIDAD DE MAGALLANES,12. MAGALLANES Y ANTARTICA CHILENA,AUSTRAL,12. MAGALLANES Y ANTARTICA CHILENA,$11.797
D96I1112,INVESTIGACION APLICADA,FONDEF,INVESTIGACION Y DESARROLLO,III CONCURSO INVESTIGACION Y DESARROLLO (I+D) 1993,1993,1993,DESARROLLO Y ADAPTACION DE SENSORES INDUSTRIALES PARA CONTROLAR Y OPTIMIZAR LA OPERACION DE PROCESOS INVOLUCRANDO DISPERSIONES LIQUIDAS Y MINERALES,INGENIERIA Y TECNOLOGIA,INGENIERIA ELECTRONICA,NO APLICA,36,1996,PERSONA JURIDICA,JOSE RETAMALES ESPINOZA,HOMBRE,UNIVERSIDAD DE MAGALLANES,12. MAGALLANES Y ANTARTICA CHILENA,AUSTRAL,12. MAGALLANES Y ANTARTICA CHILENA,$80.000
1941113,PROYECTOS DE INVESTIGACION,FONDECYT,REGULAR,CONCURSO NACIONAL REGULAR 1994,1994,1994,COLONIZACION BIOTICA EN TERRITORIOS EN PROCESO DE DESGLACIACION EN FUEGO-PATAGONIA,CIENCIAS NATURALES,BIOLOGIA 1,BIOLOGIA 1,36,1997,PERSONA NATURAL,EDMUNDO ENRIQUE PISANO VALDES,HOMBRE,UNIVERSIDAD DE MAGALLANES,12. MAGALLANES Y ANTARTICA CHILENA,AUSTRAL,12. MAGALLANES Y ANTARTICA CHILENA,$24.100
1941117,PROYECTOS DE INVESTIGACION,FONDECYT,REGULAR,CONCURSO NACIONAL REGULAR 1994,1994,1994,ESTUDIO QUIMICO DE LA FLORA DE CHILE CON ESPECIAL ENFASIS EN ESPECIES DE LA PATAGONIA.,CIENCIAS NATURALES,QUIMICA,QUIMICA 2,36,1997,PERSONA NATURAL,VICTOR MANUEL FAJARDO MORALES,HOMBRE,UNIVERSIDAD DE MAGALLANES,12. MAGALLANES Y ANTARTICA CHILENA,AUSTRAL,12. MAGALLANES Y ANTARTICA CHILENA,$34.380
1950722,PROYECTOS DE INVESTIGACION,FONDECYT,REGULAR,CONCURSO NACIONAL REGULAR 1995,1995,1995,VARIACION RECIENTES DE GLACIALES EN EL HIELO PATAGONICO SUR Y SU RELACION CON CAMBIOS CLIMATICOS,CIENCIAS NATURALES,CS. DE LA TIERRA,CS. DE LA TIERRA,36,1998,PERSONA NATURAL,GINO CASASSA ROGAZINSKI,HOMBRE,UNIVERSIDAD DE MAGALLANES,12. MAGALLANES Y ANTARTICA CHILENA,AUSTRAL,12. MAGALLANES Y ANTARTICA CHILENA,$49.190
